#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4697     4664      -    no    1 0.41   0.0   58.5   9.3e-05 !   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_LLWA01000071.1    -         ToxI                 RF02519    cm        1       34   219160   219193      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain M2E_15 contig_76, whole genome shotgun sequence
NZ_MRWV01000016.1    -         ToxI                 RF02519    cm        1       34    15538    15571      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain S2E19 NODE_16, whole genome shotgun sequence
NZ_FMAK01000065.1    -         ToxI                 RF02519    cm        1       34    12984    12951      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain SDA_GO95, whole genome shotgun sequence
NZ_KB976202.1        -         ToxI                 RF02519    cm        1       34    35453    35486      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain VDM019 achrj-supercont1.5, whole genome shotgun sequence
NZ_LABT01000009.1    -         ToxI                 RF02519    cm        1       34    26763    26730      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain WSBC 10969 233, whole genome shotgun sequence
NZ_FNUW01000026.1    -         ToxI                 RF02519    cm        1       34    60656    60623      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus sp. ok061, whole genome shotgun sequence
NZ_NFCR01000095.1    -         ToxI                 RF02519    cm        1       34    20884    20917      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis serovar malayensis strain BGSC 4AV1 4AV1_contig000095, whole genome shotgun sequence
NZ_PGEC01000299.1    -         ToxI                 RF02519    cm        1       34    40152    40185      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis serovar morrisoni strain BGSC 4K1 53149, whole genome shotgun sequence
NZ_JTHH01000008.1    -         ToxI                 RF02519    cm        1       34  1676303  1676270      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis serovar morrisoni strain HD 600 BG10.Contig244, whole genome shotgun sequence
NZ_NFDG01000047.1    -         ToxI                 RF02519    cm        1       34     7797     7764      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis serovar navarrensis strain BGSC 4BM1 4BM1_contig000047, whole genome shotgun sequence
NZ_NFEC01000060.1    -         ToxI                 RF02519    cm        1       34    22474    22507      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis serovar thompsoni strain BGSC 4O1 4O1_contig000060, whole genome shotgun sequence
NZ_NTUS01000142.1    -         ToxI                 RF02519    cm        1       34     1425     1392      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis strain AFS015413 AFS015413_107_D9_Contig142_140523, whole genome shotgun sequence
NZ_NUGA01000030.1    -         ToxI                 RF02519    cm        1       34    22891    22924      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis strain AFS056670 AFS056670_71_D3_Contig30_140411, whole genome shotgun sequence
NZ_NVDI01000015.1    -         ToxI                 RF02519    cm        1       34   128190   128157      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis strain AFS061653 AFS061653_108_E11_Contig15_140523, whole genome shotgun sequence
NZ_SMDF01000024.1    -         ToxI                 RF02519    cm        1       34    18757    18790      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis strain LP_1_YM Ga0304823_124, whole genome shotgun sequence
NZ_SMDG01000023.1    -         ToxI                 RF02519    cm        1       34    18757    18790      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis strain LP_2_YM Ga0304824_123, whole genome shotgun sequence
NZ_NHNR01000067.1    -         ToxI                 RF02519    cm        1       34     5810     5777      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus thuringiensis strain WBt-2 contig-100_66, whole genome shotgun sequence
NZ_NUEK01000034.1    -         ToxI                 RF02519    cm        1       34    30022    29989      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus toyonensis strain AFS004252 AFS004252_102_E7_Contig34_140514, whole genome shotgun sequence
NZ_NUEH01000055.1    -         ToxI                 RF02519    cm        1       34    38407    38374      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus toyonensis strain AFS005430 AFS005430_100_E12_Contig55_140514, whole genome shotgun sequence
NZ_NUDM01000074.1    -         ToxI                 RF02519    cm        1       34    31536    31503      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus toyonensis strain AFS010752 AFS010752_108_G1_Contig96_140523, whole genome shotgun sequence
NZ_NUCC01000044.1    -         ToxI                 RF02519    cm        1       34    17950    17917      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig44_140514, whole genome shotgun sequence
NZ_NUBE01000009.1    -         ToxI                 RF02519    cm        1       34    44995    44962      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus toyonensis strain AFS024499 AFS024499_99_F2_Contig9_140514, whole genome shotgun sequence
NZ_NUTK01000059.1    -         ToxI                 RF02519    cm        1       34     2423     2456      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus toyonensis strain AFS038153 AFS038153_108_E2_Contig59_140523, whole genome shotgun sequence
NZ_NVGM01000004.1    -         ToxI                 RF02519    cm        1       34    13796    13829      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus toyonensis strain AFS078111 AFS078111_102_H7_Contig4_140514, whole genome shotgun sequence
NZ_NUDO01000056.1    -         ToxI                 RF02519    cm        1       34    21115    21148      +    no    1 0.32   0.0   38.8       3.4 ?   Bacillus toyonensis strain AFS009906 AFS009906_115_B12_Contig56_140618, whole genome shotgun sequence
NZ_NUAM01000032.1    -         ToxI                 RF02519    cm        1       34     3022     2989      -    no    1 0.32   0.0   38.8       3.4 ?   Bacillus toyonensis strain AFS027674 AFS027674_115_H6_Contig32_140618, whole genome shotgun sequence
NZ_SJQE01000064.1    -         ToxI                 RF02519    cm        1       34     1330     1363      +    no    1 0.32   0.0   38.4       4.1 ?   Bacillus toyonensis strain MS195 NODE_31_length_64831_cov_25.898644, whole genome shotgun sequence
NC_018686.1          -         ToxI                 RF02519    cm        1       34    38855    38888      +    no    1 0.29   0.0   38.3       4.3 ?   Bacillus thuringiensis MC28 plasmid pMC183, complete sequence
NZ_CP015180.1        -         ToxI                 RF02519    cm        1       34    63468    63435      -    no    1 0.29   0.0   38.3       4.3 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 plasmid pBMB71, complete sequence
NZ_NFDM01000143.1    -         ToxI                 RF02519    cm        1       34    15186    15219      +    no    1 0.29   0.0   38.3       4.3 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000143, whole genome shotgun sequence
NZ_PGSC01000720.1    -         ToxI                 RF02519    cm        1       34    20638    20671      +    no    1 0.29   0.0   38.3       4.3 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 map unlocalized plasmid pBGSC4C3 53271, whole genome shotgun sequence
NZ_PGSC01000226.1    -         ToxI                 RF02519    cm        1       34    20877    20910      +    no    1 0.29   0.0   38.3       4.3 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 44665, whole genome shotgun sequence
NZ_PHSM01000020.1    -         ToxI                 RF02519    cm        1       34    51397    51364      -    no    1 0.29   0.0   38.3       4.3 ?   Bacillus thuringiensis serovar kurstaki strain BGSC 4D4 map unlocalized plasmid pBGSC4D4 59883, whole genome shotgun sequence
NC_020240.1          -         ToxI                 RF02519    cm        1       34    63549    63516      -    no    1 0.29   0.0   38.3       4.3 ?   Bacillus thuringiensis serovar kurstaki str. HD73 plasmid pAW63, complete sequence
NZ_LWLW01000131.1    -         ToxI                 RF02519    cm        1       34     5802     5835      +    no    1 0.44   0.0   38.1       4.9 ?   Bacillus cereus strain P4-0-9 contig00131, whole genome shotgun sequence
NZ_LWLW01000131.1    -         ToxI                 RF02519    cm        1       34     5836     5869      +    no    1 0.44   0.0   38.1       4.9 ?   Bacillus cereus strain P4-0-9 contig00131, whole genome shotgun sequence
NZ_LWLW01000131.1    -         ToxI                 RF02519    cm        1       34     5870     5903      +    no    1 0.44   0.0   38.1       4.9 ?   Bacillus cereus strain P4-0-9 contig00131, whole genome shotgun sequence
NZ_NTWZ01000056.1    -         ToxI                 RF02519    cm        1       34    14947    14980      +    no    1 0.35   0.0   38.0       5.3 ?   Bacillus cereus strain AFS008436 AFS008436_105_B11_Contig56_140523, whole genome shotgun sequence
NZ_NUPH01000047.1    -         ToxI                 RF02519    cm        1       34    15544    15577      +    no    1 0.35   0.0   38.0       5.3 ?   Bacillus cereus strain AFS030860 AFS030860_105_H1_Contig47_140523, whole genome shotgun sequence
NZ_NUNZ01000041.1    -         ToxI                 RF02519    cm        1       34     7707     7674      -    no    1 0.35   0.0   38.0       5.3 ?   Bacillus cereus strain AFS034246 AFS034246_71_H1_Contig41_140411, whole genome shotgun sequence
NZ_QNGD03000007.1    -         ToxI                 RF02519    cm        1       34    91090    91057      -    no    1 0.35   0.0   38.0       5.3 ?   Bacillus cereus strain NWUAB01 NODE_7_length_326240_cov_32.158267, whole genome shotgun sequence
NZ_NTSR01000044.1    -         ToxI                 RF02519    cm        1       34     4798     4765      -    no    1 0.35   0.0   38.0       5.3 ?   Bacillus thuringiensis strain AFS029508 AFS029508_73_G6_Contig44_140411, whole genome shotgun sequence
NZ_NVDV01000029.1    -         ToxI                 RF02519    cm        1       34     8748     8781      +    no    1 0.35   0.0   38.0       5.3 ?   Bacillus thuringiensis strain AFS060054 AFS060054_105_B5_Contig29_140523, whole genome shotgun sequence
NZ_NVKQ01000058.1    -         ToxI                 RF02519    cm        1       34     2068     2035      -    no    1 0.35   0.0   38.0       5.3 ?   Bacillus thuringiensis strain AFS098506 AFS098506_120_G3_Contig58_140618, whole genome shotgun sequence
NZ_NUVS01000044.1    -         ToxI                 RF02519    cm        1       34    23910    23877      -    no    1 0.32   0.0   37.2       7.8 ?   Bacillus thuringiensis strain AFS085829 AFS085829_95_E12_Contig44_140514, whole genome shotgun sequence
NZ_NTXH01000067.1    -         ToxI                 RF02519    cm        1       34     6882     6915      +    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS007793 AFS007793_115_A1_Contig67_140618, whole genome shotgun sequence
NZ_NTTC01000019.1    -         ToxI                 RF02519    cm        1       34   158402   158435      +    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS028292 AFS028292_106_E5_Contig19_140523, whole genome shotgun sequence
NZ_NUPR01000029.1    -         ToxI                 RF02519    cm        1       34    10675    10642      -    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS030046 AFS030046_120_B11_Contig29_140618, whole genome shotgun sequence
NZ_NUPK01000015.1    -         ToxI                 RF02519    cm        1       34    10675    10642      -    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS030475 AFS030475_100_H3_Contig15_140514, whole genome shotgun sequence
NZ_NUOD01000010.1    -         ToxI                 RF02519    cm        1       34   111244   111277      +    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS033440 AFS033440_109_H1_Contig10_140523, whole genome shotgun sequence
NZ_NVCM01000022.1    -         ToxI                 RF02519    cm        1       34    30680    30713      +    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS065496 AFS065496_105_B7_Contig22_140523, whole genome shotgun sequence
NZ_NVBK01000014.1    -         ToxI                 RF02519    cm        1       34   123624   123657      +    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS067617 AFS067617_109_C1_Contig14_140523, whole genome shotgun sequence
NZ_NUXD01000013.1    -         ToxI                 RF02519    cm        1       34   123616   123649      +    no    1 0.32   0.0   36.8       9.6 ?   Bacillus cereus strain AFS081482 AFS081482_109_E7_Contig13_140523, whole genome shotgun sequence
#
# Program:         cmsearch
# Version:         1.1.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      RF02519.cm
# Target file:     all_genomes.fna
# Option settings: /home/he63rap/programs/infernal-1.1.3/src/cmsearch -o toxi_cmsearch.out -A toxi_cmsearch_msa.fa --tblout toxi_cmsearch_hits.txt --cpu 16 RF02519.cm all_genomes.fna 
# Current dir:     /data/prostlocal2/projects/sk_rnaprotein/masterthesis/rnahomology_toxIN
# Date:            Mon Aug 31 17:13:15 2020
# [ok]
